,no,date_time,veg,so,modis,s2_ndvi,fid,gk
0,1,2017-06,0.20870351336953052,0.0,0.35052119306478463,0.34369335957083785,fid == 35,19010163004
1,2,2017-07,0.1659482797278576,0.0,0.3316810447891764,0.18969212821736023,fid == 35,19010163004
2,3,2017-08,0.3558130149112388,0.0,0.4191492199075061,0.3693250082858408,fid == 35,19010163004
3,4,2017-09,0.20054887990830508,0.0005488799083047683,0.32622161938460664,0.3406260759036904,fid == 35,19010163004
4,5,2017-10,0.31002656507007353,0.0,0.16390630324800487,0.29247665226579445,fid == 35,19010163004
5,6,2017-11,0.0,0.0,0.03543542818957862,0.037383585376224215,fid == 35,19010163004
6,7,2017-12,0.0,0.0,0.030407599279456732,0.02556281139642422,fid == 35,19010163004
7,8,2018-01,0.0033049386635671087,0.0,0.06475281634998815,0.13818463903615158,fid == 35,19010163004
8,9,2018-02,0.0,0.0,0.04443409634236474,0.13103777229354355,fid == 35,19010163004
9,10,2018-03,0.125570559836811,0.021430738682249418,0.1703434600713033,0.16441226293990413,fid == 35,19010163004
10,11,2018-04,0.4393822801801997,0.05160743052290842,0.35520612507859534,0.4176339892687442,fid == 35,19010163004
11,12,2018-05,0.5405565749893729,0.004472205331310013,0.6595222402030666,0.556318488711835,fid == 35,19010163004
12,13,2018-06,0.3518001826012234,0.005040367785413069,0.5025097069559498,0.39671426356612727,fid == 35,19010163004
13,14,2018-07,0.11397672299126989,0.002105996439618562,0.3513450337461315,0.2842506807367171,fid == 35,19010163004
14,15,2018-08,0.5336861590783117,0.0009147998471746138,0.5140770617657077,0.5436780945591675,fid == 35,19010163004
15,16,2018-09,0.31775184051152533,0.007671164731536136,0.47837417036041363,0.40517411929007785,fid == 35,19010163004
16,17,2018-10,0.4016465418853622,0.0,0.3774536318005051,0.36366378218762263,fid == 35,19010163004
17,18,2018-11,0.0,0.0,0.06548496367594643,0.008387451874228489,fid == 35,19010163004
18,19,2018-12,0.0,0.0,0.008044127931121081,0.05740086862074917,fid == 35,19010163004
19,20,2019-01,0.0,0.0,0.012814220992109932,0.11615435212347731,fid == 35,19010163004
20,21,2019-02,0.026961034907685925,0.00045067345412278756,0.08380857860253545,0.2337624916989512,fid == 35,19010163004
21,22,2019-03,0.1849017459431109,0.012324133868746496,0.20283095648558888,0.22032779512806427,fid == 35,19010163004
22,23,2019-04,0.7201519643981436,0.04985748853361172,0.4766383528352425,0.5744201530667148,fid == 35,19010163004
23,24,2019-05,0.3158319566492518,0.0,0.3078928590181697,0.3529130933036928,fid == 35,19010163004
24,25,2019-06,0.48454571218962034,0.007490596395688599,0.6316718546063536,0.47478971230428396,fid == 35,19010163004
25,26,2019-07,0.557943463713702,0.0003597108901333662,0.3609058505854704,0.511766366866071,fid == 35,19010163004
26,27,2019-08,0.3501333634679157,0.015835902844668806,0.43191133138499455,0.415890205507568,fid == 35,19010163004
27,28,2019-09,0.4991385634772445,0.015065946306630162,0.40808621229537734,0.4485963088270441,fid == 35,19010163004
28,29,2019-10,0.280195121426227,0.0014793748508965935,0.2697839331981119,0.2979034842788482,fid == 35,19010163004
29,30,2019-11,0.0,0.0,0.051390263631805246,0.029199021391417695,fid == 35,19010163004
30,31,2019-12,0.02053125448862477,0.016019345740116507,0.08501519659818461,0.27530847892703125,fid == 35,19010163004
31,32,2020-01,0.0,0.0,0.05206681901480656,0.04908988433461878,fid == 35,19010163004
32,33,2020-02,0.07957861807823857,0.0035946252818390696,0.14588813622436436,0.19550193423422232,fid == 35,19010163004
33,34,2020-03,0.3167642453170302,0.041530567767834564,0.2670049729847163,0.36009850489603024,fid == 35,19010163004
34,35,2020-04,0.2193295413982805,0.02725655113282714,0.2568913226115552,0.27729555741176615,fid == 35,19010163004
35,36,2020-05,0.15962429460032437,0.014483227082711547,0.31145156077227865,0.22726702283791161,fid == 35,19010163004
36,37,2020-06,0.5126955384673333,0.016136351814084002,0.5564865353489996,0.5238710764157086,fid == 35,19010163004
37,38,2020-07,0.44048150759014965,0.03175089266364765,0.48615187216531736,0.41673621190606663,fid == 35,19010163004
38,39,2020-08,0.4306249876681395,0.038193790482135295,0.5040885578564591,0.45517512707506347,fid == 35,19010163004
39,40,2020-09,0.43260929616017224,0.008418849181792247,0.529242207191966,0.4903063423286544,fid == 35,19010163004
40,41,2020-10,0.0724033033795035,0.02674982376649996,0.22613008287439376,0.20318454258792967,fid == 35,19010163004
41,42,2020-11,0.01288400191178493,0.0,0.06405573866425751,0.08014843012079384,fid == 35,19010163004
42,43,2020-12,0.0,0.0,0.07142489163321875,0.0779804025475381,fid == 35,19010163004
43,44,2021-01,0.0,0.0,0.013443712845382453,0.03438952996967461,fid == 35,19010163004
44,45,2021-02,0.0,0.0,0.07048154416267009,0.12995359835440887,fid == 35,19010163004
45,46,2021-03,0.08201270316179934,0.006136782308129701,0.14090498872931825,0.19681805927294038,fid == 35,19010163004
46,47,2021-04,0.07277726058701507,0.012376703814715362,0.21761461171458066,0.20596808379332915,fid == 35,19010163004
47,48,2021-05,0.3541024633779977,0.01001395380219378,0.29164231600741414,0.3206114669748844,fid == 35,19010163004
48,49,2021-06,0.3532082568758013,0.006039472716542992,0.5949391448180819,0.4096682936377806,fid == 35,19010163004
49,50,2021-07,0.6174037980337159,0.006902702964489621,0.6220417957818637,0.632757600721163,fid == 35,19010163004
50,51,2021-08,0.039915318233754556,0.018538149844215007,0.30716339801295206,0.13894316630454479,fid == 35,19010163004
51,52,2021-09,0.2644219989632274,0.0018708553737316119,0.3865195109732294,0.35755147949878424,fid == 35,19010163004
52,53,2021-10,0.3536856292394898,0.00021152159362272744,0.3596352948157798,0.3472930536979601,fid == 35,19010163004
53,54,2021-11,0.08170956360459852,0.0006183867594381334,0.08396069837243537,0.17414146374112047,fid == 35,19010163004
54,55,2021-12,0.0,0.0,0.038573389992836424,0.04711157565540056,fid == 35,19010163004
55,56,2022-01,0.02196885623941093,0.00031666148556044324,0.0669064118178113,0.1376870258637914,fid == 35,19010163004
56,57,2022-02,0.07873882855721448,0.02460958348233489,0.12005580325951425,0.13278436699430163,fid == 35,19010163004
57,58,2022-03,0.36406926290450803,0.21159724053316772,0.3936688339490591,0.20919734844920643,fid == 35,19010163004
58,59,2022-04,0.28360499301343994,0.11563563342714457,0.2987361364875875,0.17917575688769735,fid == 35,19010163004
59,60,2022-05,0.17997755635850302,0.00250266057738358,0.29332271601972687,0.1741178464381518,fid == 35,19010163004
60,61,2022-06,0.3450903050947211,0.0,0.40627264232569976,0.27377933594071874,fid == 35,19010163004
61,62,2022-07,0.36549931031266525,0.021906317320748624,0.5233071179300737,0.2867558486929456,fid == 35,19010163004
