,no,date_time,veg,so,modis,s2_ndvi,fid,gk
0,1,2017-06,0.2,0.0,0.2286691665649414,0.12807340012366847,fid == 192,59070487009
1,2,2017-07,0.004523617097701151,0.009305405890804603,0.24465826153755188,0.07738268154696867,fid == 192,59070487009
2,3,2017-08,0.2,0.0,0.3563361167907715,0.20992456173695553,fid == 192,59070487009
3,4,2017-09,0.18181818181818182,0.0,0.28550732135772705,0.280531477999349,fid == 192,59070487009
4,5,2017-10,0.10099751556513409,0.0019082255747126444,0.07870174944400787,0.09833991251296793,fid == 192,59070487009
5,6,2017-11,0.0,0.0,0.0604294054210186,0.049353406546455446,fid == 192,59070487009
6,7,2017-12,0.0,0.0,0.04457813501358032,0.015831653401305795,fid == 192,59070487009
7,8,2018-01,0.0,0.0,0.0358612947165966,0.051905326489038034,fid == 192,59070487009
8,9,2018-02,0.0,0.0,0.16964110732078552,0.1682644439110166,fid == 192,59070487009
9,10,2018-03,0.10462947612732074,0.0,0.24190039932727814,0.15785765072334854,fid == 192,59070487009
10,11,2018-04,0.2727272727272727,0.0,0.32084548473358154,0.26317325934912245,fid == 192,59070487009
11,12,2018-05,0.5197407806513413,0.003541442169540232,0.47156578302383423,0.4379841259817178,fid == 192,59070487009
12,13,2018-06,0.4031051694204978,0.0011711266762452113,0.32762038707733154,0.35253560362215136,fid == 192,59070487009
13,14,2018-07,0.3203259698275857,0.0011449353448275868,0.2774554491043091,0.29135108045563274,fid == 192,59070487009
14,15,2018-08,0.28770055076628404,0.0070230184386973205,0.4144209921360016,0.30829789162474297,fid == 192,59070487009
15,16,2018-09,0.40207435344827586,0.022222721104725427,0.3498578369617462,0.31895093670470825,fid == 192,59070487009
16,17,2018-10,0.4289589047805643,0.044123889759665795,0.4087342321872711,0.40690129418755727,fid == 192,59070487009
17,18,2018-11,0.0,0.0,0.07885871827602386,0.009654144648488888,fid == 192,59070487009
18,19,2018-12,0.0,0.0,0.002422851277515292,0.03253130523373184,fid == 192,59070487009
19,20,2019-01,0.0,0.0,0.0649745836853981,0.10915931512654534,fid == 192,59070487009
20,21,2019-02,0.0,0.0,0.07020094245672226,0.06275915933656508,fid == 192,59070487009
21,22,2019-03,0.30406581564986723,0.0,0.23589134216308594,0.2507657849128846,fid == 192,59070487009
22,23,2019-04,0.6701650802203087,0.039799598898467445,0.5219954252243042,0.4848680730919818,fid == 192,59070487009
23,24,2019-05,0.028260446599616882,0.19459785081417638,0.2675018012523651,0.14470031181445364,fid == 192,59070487009
24,25,2019-06,0.04492468121408047,0.37527220276580414,0.5152333974838257,0.27001178872720727,fid == 192,59070487009
25,26,2019-07,0.03175598198496908,0.27345649591069826,0.3514670133590698,0.16907932774609385,fid == 192,59070487009
26,27,2019-08,0.06655591475095787,0.264452002514368,0.3898787796497345,0.2658200480556386,fid == 192,59070487009
27,28,2019-09,0.05967320701628355,0.35341460129310315,0.3476808965206146,0.269919876828482,fid == 192,59070487009
28,29,2019-10,0.009949899724616861,0.17393289032567066,0.24506455659866333,0.14461187823493596,fid == 192,59070487009
29,30,2019-11,0.0,0.0,0.07534642517566681,0.030052291545913247,fid == 192,59070487009
30,31,2019-12,0.0023589467285587986,0.0,0.07703359425067902,0.08813333043893173,fid == 192,59070487009
31,32,2020-01,0.0,0.0,0.06891662627458572,0.05100576341772406,fid == 192,59070487009
32,33,2020-02,0.013466085967432954,0.06336524934147511,0.1570836454629898,0.1711717947716049,fid == 192,59070487009
33,34,2020-03,0.017445297533524917,0.4009761883381225,0.30199337005615234,0.1752341967480841,fid == 192,59070487009
34,35,2020-04,0.004776176364942531,0.39476884279214564,0.294888436794281,0.12407147301539603,fid == 192,59070487009
35,36,2020-05,0.0028372982979664027,0.08734492429266125,0.216615691781044,0.08873126827680174,fid == 192,59070487009
36,37,2020-06,0.010018184267241381,0.325348718869732,0.35551556944847107,0.14577317697360004,fid == 192,59070487009
37,38,2020-07,0.033121489681295725,0.45429034417450354,0.24372921884059906,0.15972867380976868,fid == 192,59070487009
38,39,2020-08,0.03845822856800768,0.4890576358955941,0.3613499402999878,0.17833563879476177,fid == 192,59070487009
39,40,2020-09,0.03496449203783526,0.40296579412116895,0.47059518098831177,0.19872692344247259,fid == 192,59070487009
40,41,2020-10,0.0018529647435897442,0.004384601569407605,0.15812747180461884,0.09584472277593113,fid == 192,59070487009
41,42,2020-11,0.00580427115987461,0.019239403735632182,0.09149068593978882,0.04266166708559427,fid == 192,59070487009
42,43,2020-12,0.0014449451410658313,0.030933663140020887,0.0630563497543335,0.05812576199028187,fid == 192,59070487009
43,44,2021-01,0.0,0.0,0.01675320975482464,0.029295977210683225,fid == 192,59070487009
44,45,2021-02,0.0,0.0,0.12109768390655518,0.07425071356756867,fid == 192,59070487009
