,no,date_time,veg,so,modis,s2_ndvi,fid,gk
0,1,2017-06,0.6666666666666666,0.0,0.4088401198387146,0.6949032088994768,fid == 111,14060349016
1,2,2017-07,0.15384615384615385,0.0,0.3766503930091858,0.2682493751106454,fid == 111,14060349016
2,3,2017-08,0.2,0.0,0.3740808069705963,0.21313954579827912,fid == 111,14060349016
3,4,2017-09,0.16666666666666666,0.0,0.25511348247528076,0.1863046355254505,fid == 111,14060349016
4,5,2017-10,0.16666666666666666,0.0,0.15538351237773895,0.2811224413681325,fid == 111,14060349016
5,6,2017-11,0.0,0.0,0.10181138664484024,0.08404961289269816,fid == 111,14060349016
6,7,2017-12,0.0,0.0,0.041068870574235916,0.013321494748828254,fid == 111,14060349016
7,8,2018-01,0.0124365335187292,0.0,0.047505371272563934,0.11853759156097625,fid == 111,14060349016
8,9,2018-02,0.0,0.0,0.029249779880046844,0.08554241865278354,fid == 111,14060349016
9,10,2018-03,0.0809461995468821,0.022369047966317595,0.15096226334571838,0.16654475144274383,fid == 111,14060349016
10,11,2018-04,0.27902173038691824,0.06591799680536879,0.3163432776927948,0.3865896654052178,fid == 111,14060349016
11,12,2018-05,0.6666666666666666,0.0,0.5944998264312744,0.6526592902329672,fid == 111,14060349016
12,13,2018-06,0.48420711667298716,0.0,0.5368086695671082,0.4349484819593479,fid == 111,14060349016
13,14,2018-07,0.027265832385286317,0.001856592086967514,0.3490550220012665,0.16942183668531532,fid == 111,14060349016
14,15,2018-08,0.3980441263219984,0.0006214974929423167,0.3787304759025574,0.46807408436705267,fid == 111,14060349016
15,16,2018-09,0.2222222222222222,0.0,0.38738974928855896,0.29356553506955185,fid == 111,14060349016
16,17,2018-10,0.44352656255386624,0.001526930281196493,0.3142062723636627,0.3921477315836046,fid == 111,14060349016
17,18,2018-11,0.0,0.0,0.07800288498401642,0.035874522765437955,fid == 111,14060349016
18,19,2018-12,0.0,0.0,-0.006052314769476652,0.07285703744926712,fid == 111,14060349016
19,20,2019-01,0.0,0.0,0.016076648607850075,0.17686169075570896,fid == 111,14060349016
20,21,2019-02,0.0009207547603452041,4.883878604015123e-05,0.10669415444135666,0.14165331877159637,fid == 111,14060349016
21,22,2019-03,0.13019116517410015,0.01528665052555838,0.2020646035671234,0.17986374620911882,fid == 111,14060349016
22,23,2019-04,0.5109426504477694,0.10575464543041334,0.42694830894470215,0.4205499496459282,fid == 111,14060349016
23,24,2019-05,0.25,0.0,0.3553384840488434,0.2801891382980959,fid == 111,14060349016
24,25,2019-06,0.5040463173640078,0.00905911599882021,0.6449326872825623,0.5301513736765028,fid == 111,14060349016
25,26,2019-07,0.42941911457269755,0.014072421069008101,0.41402629017829895,0.419717603497892,fid == 111,14060349016
26,27,2019-08,0.6081181793283609,0.0076370454641216876,0.42065322399139404,0.5766351453318578,fid == 111,14060349016
27,28,2019-09,0.4406746407955171,0.0,0.30757513642311096,0.4861323056160281,fid == 111,14060349016
28,29,2019-10,0.06574311085829856,0.0027282686554586442,0.18880948424339294,0.14545694283831212,fid == 111,14060349016
29,30,2019-11,0.0,0.0,0.04309200495481491,0.025032066726233492,fid == 111,14060349016
30,31,2019-12,0.0008945674474684714,0.0,0.07341045141220093,0.18575196241249575,fid == 111,14060349016
31,32,2020-01,0.0006715333080520794,0.0,0.04228941723704338,0.12473036961837415,fid == 111,14060349016
32,33,2020-02,0.030349355328024286,0.0,0.14181530475616455,0.13973418318089315,fid == 111,14060349016
33,34,2020-03,0.2158650402393293,0.07941473897105297,0.2610740065574646,0.3890501894155688,fid == 111,14060349016
34,35,2020-04,0.19265237222432902,0.10730312223486288,0.23607100546360016,0.2386858880434163,fid == 111,14060349016
35,36,2020-05,0.2092923193605784,0.002855080073510108,0.3952626585960388,0.2810125243196091,fid == 111,14060349016
36,37,2020-06,0.5415507942527285,0.0,0.5042658448219299,0.5288065406116534,fid == 111,14060349016
37,38,2020-07,0.42660679606072066,0.002052665448569886,0.4351385831832886,0.5486594151624037,fid == 111,14060349016
38,39,2020-08,0.4307780832595965,0.0009335629713900477,0.3965557813644409,0.41314096246566906,fid == 111,14060349016
39,40,2020-09,0.49899270003792195,0.0010072999620781191,0.5099424123764038,0.5027155195530154,fid == 111,14060349016
40,41,2020-10,0.06456929494472148,0.025397936660735275,0.1712164580821991,0.1600649892542647,fid == 111,14060349016
41,42,2020-11,0.020206329506670798,0.0,0.09079615026712418,0.11639708846373314,fid == 111,14060349016
42,43,2020-12,0.0,0.0,0.08509275317192078,0.16462317468593074,fid == 111,14060349016
43,44,2021-01,0.0,0.0,-0.0029334845021367073,0.019834253862809802,fid == 111,14060349016
44,45,2021-02,0.0,0.0,0.020350513979792595,0.016116556788715174,fid == 111,14060349016
45,46,2021-03,0.0036368137192938103,0.1175973328277082,0.13386356830596924,0.15021065080373816,fid == 111,14060349016
46,47,2021-04,0.00012640626975097966,0.14832459023300903,0.16628116369247437,0.13499895517536917,fid == 111,14060349016
47,48,2021-05,0.12030595179059321,0.27675558861565697,0.3703572154045105,0.2688785138418831,fid == 111,14060349016
48,49,2021-06,0.3476330425989129,0.13531791176842378,0.5619139075279236,0.27190424723124745,fid == 111,14060349016
49,50,2021-07,0.5866857329456879,0.04162848143934607,0.5075947046279907,0.4052488112252622,fid == 111,14060349016
50,51,2021-08,0.24794458138457,0.02127180508153204,0.2639960050582886,0.22015170986286056,fid == 111,14060349016
51,52,2021-09,0.30262187671175156,0.028656038006151765,0.3423205018043518,0.22963871753318632,fid == 111,14060349016
52,53,2021-10,0.12465967542759332,0.12523822720068448,0.3860161602497101,0.23487848986419133,fid == 111,14060349016
53,54,2021-11,0.00012640626975097966,0.0,0.10457533597946167,0.08058535137992283,fid == 111,14060349016
54,55,2021-12,0.0,0.0,0.03232219070196152,0.0504688325727971,fid == 111,14060349016
55,56,2022-01,0.0,0.0,0.06266405433416367,0.06118709281675078,fid == 111,14060349016
56,57,2022-02,0.00013789774881925056,0.09077119316027182,0.11863072961568832,0.06934544004416562,fid == 111,14060349016
57,58,2022-03,0.0005477605022542451,0.6248683268023425,0.3369382619857788,0.12357405538377232,fid == 111,14060349016
58,59,2022-04,0.004237243500610964,0.3229864534614248,0.25629353523254395,0.11098464800207594,fid == 111,14060349016
59,60,2022-05,0.10044558210087202,0.22420461285648982,0.2987006604671478,0.12376424119760805,fid == 111,14060349016
60,61,2022-06,0.5,0.0,0.4683115482330322,0.2238262710284531,fid == 111,14060349016
61,62,2022-07,0.19827613449627088,0.0,0.41970857977867126,0.21002125990193374,fid == 111,14060349016
