,no,date_time,veg,so,modis,s2_ndvi,fid,gk
0,1,2017-06,0.2,0.0,0.34338950327367895,0.3109437285190971,fid == 35,19010163004
1,2,2017-07,0.16666666666666666,0.0,0.3268729787409244,0.18765802818623215,fid == 35,19010163004
2,3,2017-08,0.30552204509550435,0.0,0.4139885929562006,0.3477184477592703,fid == 35,19010163004
3,4,2017-09,0.2,0.0,0.32861857973739994,0.3366256765052879,fid == 35,19010163004
4,5,2017-10,0.306997702139882,0.0,0.15943387141455245,0.2836704322466103,fid == 35,19010163004
5,6,2017-11,0.0,0.0,0.03621764924459059,0.03985708561698763,fid == 35,19010163004
6,7,2017-12,0.0,0.0,0.030345808721850876,0.021751837484474616,fid == 35,19010163004
7,8,2018-01,0.00791086217626502,0.0,0.0645451519638835,0.14858296348372393,fid == 35,19010163004
8,9,2018-02,0.0,0.0,0.03625669838004878,0.15184149373968486,fid == 35,19010163004
9,10,2018-03,0.154489665153172,0.0,0.16388697589773152,0.1882923489170873,fid == 35,19010163004
10,11,2018-04,0.5053431775749739,0.0,0.35101617714993383,0.44157302007667626,fid == 35,19010163004
11,12,2018-05,0.5446676480444252,0.0,0.6497706918988302,0.5378859884438801,fid == 35,19010163004
12,13,2018-06,0.367876035233855,0.0,0.49061565505401933,0.3927734359503903,fid == 35,19010163004
13,14,2018-07,0.0951425064953717,0.007582285587455772,0.3460668833043818,0.25813781396924174,fid == 35,19010163004
14,15,2018-08,0.575742615730768,0.0,0.521903036008976,0.528954975890151,fid == 35,19010163004
15,16,2018-09,0.2640983292642056,4.388274530454624e-05,0.47513482684241987,0.39258555040292037,fid == 35,19010163004
16,17,2018-10,0.45196688992466616,0.0,0.3754590903524522,0.3526423209835429,fid == 35,19010163004
17,18,2018-11,0.0,0.0,0.06603861871304804,0.00642830186954487,fid == 35,19010163004
18,19,2018-12,0.0,0.0,0.009309514696695368,0.06416206049895908,fid == 35,19010163004
19,20,2019-01,0.0,0.0,0.01178198247269475,0.1301304163473053,fid == 35,19010163004
20,21,2019-02,0.00869177557566183,0.0,0.08327834544836847,0.24886538665706895,fid == 35,19010163004
21,22,2019-03,0.21994277444514357,0.0,0.20148775398487265,0.2358121524505936,fid == 35,19010163004
22,23,2019-04,0.802584494231413,0.0,0.4699283703984021,0.61023889424668,fid == 35,19010163004
23,24,2019-05,0.3222928335487575,0.0,0.30684217559389054,0.3398443114054746,fid == 35,19010163004
24,25,2019-06,0.49840526114222805,0.0015947388577720327,0.628441922087343,0.4628435328375947,fid == 35,19010163004
25,26,2019-07,0.5384615384615384,0.0,0.3641500588199899,0.49211548665774096,fid == 35,19010163004
26,27,2019-08,0.32831274833644525,0.03327409162717219,0.44594134528815316,0.3094864005810626,fid == 35,19010163004
27,28,2019-09,0.2186258317774906,0.221151084302743,0.4047433346933662,0.28567833769020545,fid == 35,19010163004
28,29,2019-10,0.022631528555699155,0.19879482024031778,0.2717722842474359,0.1712423034010177,fid == 35,19010163004
29,30,2019-11,0.0,0.0,0.050508350288514414,0.02779542045106272,fid == 35,19010163004
30,31,2019-12,0.0035904064340083293,0.00987085584241982,0.08581332426074677,0.15039831482790994,fid == 35,19010163004
31,32,2020-01,0.0,0.0,0.05174001684736311,0.04772491437484247,fid == 35,19010163004
32,33,2020-02,0.011040499784575608,0.04884149552395995,0.14377104702004237,0.13867896262587875,fid == 35,19010163004
33,34,2020-03,0.02276018478625113,0.34487649001867016,0.263375155344171,0.21539900592927813,fid == 35,19010163004
34,35,2020-04,0.009433792905356883,0.24005158217243522,0.246198372668479,0.17003820333632513,fid == 35,19010163004
35,36,2020-05,0.01693843281521006,0.20873518266883145,0.3049692574668577,0.14644646482456822,fid == 35,19010163004
36,37,2020-06,0.18419981808607394,0.23161113504715372,0.5531329579322857,0.28300115266718784,fid == 35,19010163004
37,38,2020-07,0.26473372240283044,0.10840089825440967,0.48028428835865755,0.2628752097084049,fid == 35,19010163004
38,39,2020-08,0.24996110393029844,0.2548560247019962,0.5081803860180544,0.27919611322495425,fid == 35,19010163004
39,40,2020-09,0.26470570635262586,0.1096210924409976,0.5236568110060728,0.31997178413394406,fid == 35,19010163004
40,41,2020-10,0.010630364895767738,0.0466725217910052,0.2223530249857669,0.16123720722463725,fid == 35,19010163004
41,42,2020-11,0.0017005470473803086,0.0,0.05759881937676515,0.059057703108755334,fid == 35,19010163004
42,43,2020-12,0.0,0.0,0.07031295330571438,0.04607095689729868,fid == 35,19010163004
43,44,2021-01,0.0,0.0,0.01191636193916844,0.02626003657622683,fid == 35,19010163004
44,45,2021-02,0.0,0.0,0.05627335643583836,0.03411292301044969,fid == 35,19010163004
45,46,2021-03,0.0045538321604672305,0.013332375891617596,0.13316306849650295,0.0904275028134824,fid == 35,19010163004
46,47,2021-04,0.003925511034515773,0.07851022069031538,0.2173544312583189,0.15973616962813436,fid == 35,19010163004
47,48,2021-05,0.20173665197361845,0.15985870369756602,0.2827069454197909,0.22982463230244232,fid == 35,19010163004
48,49,2021-06,0.33651084302743045,0.012602326583369232,0.5969466320548644,0.33176987521584717,fid == 35,19010163004
49,50,2021-07,0.5438179185217098,0.041502106371774615,0.6122673667617416,0.5580040717720299,fid == 35,19010163004
50,51,2021-08,0.011001603714873852,0.019379218727559943,0.30672800677031176,0.12371184585880018,fid == 35,19010163004
51,52,2021-09,0.2582310067499641,0.0026150126861027327,0.3797081412661097,0.3383840599416848,fid == 35,19010163004
52,53,2021-10,0.30386714391453684,0.010561318618190652,0.3542364010151031,0.29099588122303904,fid == 35,19010163004
53,54,2021-11,0.01935229067930488,0.0,0.08350096634624846,0.11146485339087792,fid == 35,19010163004
54,55,2021-12,0.0,0.0,0.035002145454240435,0.04179855551074162,fid == 35,19010163004
55,56,2022-01,0.0006158927959875826,0.0,0.0681352172120196,0.07422482963377491,fid == 35,19010163004
56,57,2022-02,0.010957267635423604,0.07995182327366727,0.1203262073004038,0.08159300319555653,fid == 35,19010163004
57,58,2022-03,0.03353439609363779,0.5467470917707887,0.3824981617059545,0.15125005706929656,fid == 35,19010163004
58,59,2022-04,0.01782636794485135,0.3979726171669301,0.2994085625102939,0.13073241751671524,fid == 35,19010163004
59,60,2022-05,0.09051966990355603,0.0645196036191296,0.28206123739938943,0.13414423145395524,fid == 35,19010163004
60,61,2022-06,0.3333333333333333,0.0,0.41216000996537555,0.271359435161066,fid == 35,19010163004
61,62,2022-07,0.3750748001340422,0.052183565512949344,0.535074319088577,0.31049462908384845,fid == 35,19010163004
